ID,OFFICE_ID,FIRSTNAME,LASTNAME,TITLE,MOBILE,PHONE
"003U000000pW04oIAC","0010P000020oaeDQAQ","Patrick","Barros","Adviser",,"0115 496 0302"
"003U000000pW7qwIAC","0010P000026DlSSQA0","Karen","Pietropaolo","IFA",,
"003U000000pW8ExIAK","0010P000026DlPXQA0","Julian","York","Research Analyst","07700 900317","0117 496 0266"
"0030P00001x51CIQAY","0010P000026DlSSQA0","Becky","Qin","Research Analyst",,"0121 496 0757"
"0030P00002EUQfmQAH","0010P000026DlyfQAC","Amanda","Sillars","Fund Manager",,
"0030P000023WGMyQAO","0010P000026Dm2yQAC","Peter","Hearn","Director","07700 900905",
"003U000000pW6ZIIA0","0010P000026DlSSQA0","Navik","Patel","Finacial Adviser",,
"0034U00002S90zmQAB","0010P000026Dm2yQAC","Robert","Oliver","Head of Sales",,
"0030P0000268x6FQAQ","0010P000026Dm2yQAC","Mohsin","Harhara","Adviser",,"+44141 496 0616"
"0030P000023WA7lQAG","0010P000026DlyfQAC","Andrew","Herberts","Head of Private Investment Management","07700 900245",
"0030P00002Gp8YZQAZ","0010P000026DlPXQA0","Scott","Peebles","Sales",,
"0030P000029fKoZQAU","0010P000026DlyfQAC","Nathan","Sweeney","Investment Manager",,
"0030P00002FOWe0QAH","0010P000026Dm2yQAC","Nic","Clarke","Analyst",,"020 7946 0629",
"0030P00002MZGvyQAH","0010P000020oaeDQAQ","Paulo","D'Avila","Paraplanner","+447700 900217",
"0030P00002IjeeHQAR","0010P000026DlPXQA0","Michael","Paul","Fund Analyst","07700 900671",
